year,quarter,firm_f,firm_g,kappa,contrib_Vanguard,contrib_BlackRock,contrib_State Street,contrib_Passive,contrib_Active,contrib_Hedge Fund,contrib_Other,time
2013,3,MSFT,DAL,1.055219,0.253114,0.215452,0.121373,0.02163,0.425399,0.000241,0.01801,2013.625
2013,3,MSFT,JPM,0.955187,0.182327,0.297109,0.152091,0.032517,0.264129,0.000207,0.026807,2013.625
2013,3,MSFT,BAC,0.782508,0.174809,0.239713,0.150483,0.029384,0.169011,0.000406,0.018702,2013.625
2013,3,MSFT,PFE,0.870544,0.174524,0.29157,0.139868,0.030479,0.207763,0.000128,0.026212,2013.625
2013,3,MSFT,MRK,1.142005,0.178918,0.298984,0.148854,0.030512,0.461792,0.000114,0.022831,2013.625
2013,3,MSFT,NVDA,1.023719,0.236641,0.232774,0.157589,0.02832,0.351064,0.000722,0.016609,2013.625
2013,3,MSFT,XOM,0.713137,0.193816,0.252252,0.143854,0.031377,0.078479,7.7e-05,0.013283,2013.625
2013,3,MSFT,CVX,0.987934,0.198958,0.289625,0.186326,0.033537,0.25945,9.3e-05,0.019944,2013.625
2013,3,MSFT,KO,0.755473,0.182812,0.229437,0.126667,0.027682,0.1673,0.000139,0.021435,2013.625
2013,3,MSFT,PEP,0.972574,0.210583,0.243072,0.138447,0.031482,0.31981,0.000103,0.029077,2013.625
2013,3,MSFT,WMT,0.381685,0.104157,0.120866,0.078246,0.011538,0.053471,5.9e-05,0.013348,2013.625
2013,3,MSFT,TGT,1.048399,0.201712,0.264854,0.330933,0.031773,0.173227,7.5e-05,0.045826,2013.625
2013,3,MSFT,T,0.775497,0.179029,0.249394,0.147675,0.028892,0.15547,0.000144,0.014893,2013.625
2013,3,MSFT,VZ,1.003693,0.182441,0.271846,0.143337,0.029431,0.360779,0.000144,0.015714,2013.625
2013,3,MSFT,WFC,0.920595,0.17392,0.248879,0.134706,0.029188,0.310416,0.000119,0.023367,2013.625
2013,3,MSFT,INTC,0.932803,0.188181,0.249348,0.182187,0.033415,0.235759,0.000215,0.043698,2013.625
2013,3,MSFT,AMZN,1.086528,0.143392,0.192299,0.112527,0.023313,0.60416,9.6e-05,0.010742,2013.625
2013,3,MSFT,JNJ,0.858125,0.183626,0.261429,0.19111,0.030562,0.165579,0.000153,0.025666,2013.625
2013,3,MSFT,PG,0.82381,0.198177,0.249964,0.148048,0.031653,0.175963,0.00018,0.019825,2013.625
2013,3,MSFT,MA,0.827486,0.158357,0.267245,0.118126,0.027145,0.233914,0.000257,0.022442,2013.625
2013,3,MSFT,UNH,1.262097,0.17762,0.254377,0.162399,0.032633,0.596005,0.000147,0.038915,2013.625
2013,3,MSFT,GS,0.997464,0.162706,0.252924,0.182613,0.027069,0.348863,0.000243,0.023045,2013.625
2013,3,MSFT,MS,0.774899,0.121157,0.171382,0.241588,0.019286,0.202695,7.4e-05,0.018717,2013.625
2013,3,MSFT,LMT,1.852668,0.170058,0.237377,0.615198,0.02153,0.78248,0.000117,0.025908,2013.625
2013,3,MSFT,NOC,1.330414,0.194593,0.465775,0.378675,0.026913,0.223193,0.000558,0.040706,2013.625
2013,3,MSFT,A,0.497787,0.099712,0.200956,0.074788,0.017543,0.093731,0.0002,0.010856,2013.625
2013,3,MSFT,ABBV,1.193598,0.19072,0.305593,0.152317,0.031757,0.493555,5.8e-05,0.019597,2013.625
2013,3,MSFT,ABT,0.827354,0.231254,0.285849,0.149586,0.033018,0.104997,0.000289,0.022362,2013.625
2013,3,MSFT,ACN,0.755117,0.184477,0.237879,0.135428,0.02969,0.148671,0.000159,0.018812,2013.625
2013,3,MSFT,ADBE,1.088364,0.17177,0.230972,0.130219,0.027283,0.461727,0.000197,0.066196,2013.625
2013,3,MSFT,ADI,1.191521,0.185799,0.24031,0.150857,0.031369,0.562941,0.00049,0.019754,2013.625
2013,3,MSFT,ADM,1.076402,0.202149,0.233574,0.270498,0.035143,0.293571,0.001115,0.040352,2013.625
